,Method,aligned_circular_agreement,mean_abs_wrapped_error,radius_cv,noise,density_ratio,seed,k,n_points
1,LE,0.49578761784919373,0.8736921656958896,0.11435491214451915,0.0,1.5,22,10,500
0,DM,0.985364365885051,0.14718038583484813,0.0925611010337095,0.0,1.5,23,10,500
1,LE,0.5302514227527534,0.8801608262121375,0.11058891247495777,0.0,1.5,23,10,500
0,DM,0.9865100896346294,0.138319809280591,0.08035275072700941,0.0,1.5,24,10,500
1,LE,0.5027122042619445,0.9099555960117273,0.09843895001085906,0.0,1.5,24,10,500
0,DM,0.979502137848855,0.18529332994421868,0.0760733358577842,0.0,1.5,25,10,500
1,LE,0.49056201780944736,0.934961787514173,0.08867746562713812,0.0,1.5,25,10,500
0,DM,0.9872070482615164,0.13388455028743546,0.0790106200627613,0.0,1.5,26,10,500
1,LE,0.4608991755564482,0.9335595442462183,0.11260059164909908,0.0,1.5,26,10,500
0,DM,0.9884715789015676,0.12763026418565304,0.07697810439572003,0.0,1.5,27,10,500
1,LE,0.45062329979340127,0.9449108293318271,0.10559027658995186,0.0,1.5,27,10,500
0,DM,0.9733991697841988,0.202057560706496,0.07658066505526227,0.0,1.5,28,10,500
1,LE,0.5665734563092175,0.8135794839252237,0.09858850717704923,0.0,1.5,28,10,500
0,DM,0.9839863508471524,0.15756651844277342,0.08627479995187821,0.0,1.5,29,10,500
1,LE,0.5269194308960278,0.8769381139986604,0.10540560816602616,0.0,1.5,29,10,500
0,DM,0.9764996549931778,0.18615222597092423,0.0852336606320341,0.0,1.5,30,10,500
1,LE,0.5577735761189664,0.7948013661417322,0.11009998420544882,0.0,1.5,30,10,500
0,DM,0.9615335801302742,0.25228528800683286,0.10474449682020015,0.0,1.5,31,10,500
1,LE,0.6632453572913782,0.7096687343404167,0.12557293946198708,0.0,1.5,31,10,500
0,DM,0.9812916383897716,0.1755466372383269,0.07308967920419156,0.0,1.5,32,10,500
1,LE,0.469593762425312,0.9375763889974371,0.07946642974723826,0.0,1.5,32,10,500
0,DM,0.9829659347173388,0.1598395735540695,0.07490999157735156,0.0,1.5,33,10,500
1,LE,0.45938313948744713,0.9276908945128025,0.08340862248055704,0.0,1.5,33,10,500
0,DM,0.9856124678507576,0.1474924731178865,0.0754390167509448,0.0,1.5,34,10,500
1,LE,0.44841051014616323,0.9415018250076514,0.07542830563842501,0.0,1.5,34,10,500
0,DM,0.9808132955975106,0.1715292242140724,0.07184876999710173,0.0,1.5,35,10,500
1,LE,0.46025077725751756,0.9870910943427429,0.08702040224019862,0.0,1.5,35,10,500
0,DM,0.9776915218854203,0.18870580586490357,0.07575772652684507,0.0,1.5,36,10,500
1,LE,0.5088490126971444,0.8584773479922068,0.08859702331987496,0.0,1.5,36,10,500
0,DM,0.9634280307570424,0.2435843885850547,0.13112878487453117,0.0,1.5,37,10,500
1,LE,0.645196929797884,0.6899020887487965,0.17289940477846363,0.0,1.5,37,10,500
0,DM,0.9831467316398683,0.16279930759601574,0.07192660515337664,0.0,1.5,38,10,500
1,LE,0.540682416820616,0.8481239193929845,0.1424039131525443,0.0,1.5,38,10,500
0,DM,0.9818615909451592,0.1600147445944315,0.076223153455001,0.0,1.5,39,10,500
1,LE,0.4988971091918125,0.9165302160916893,0.08507963957451381,0.0,1.5,39,10,500
0,DM,0.9858380173466098,0.1430813389564024,0.07577664400487798,0.0,1.5,40,10,500
1,LE,0.4883043629054805,0.9102678830752243,0.0851410958271299,0.0,1.5,40,10,500
0,DM,0.9730591293690666,0.21820254947868384,0.08314217023348741,0.0,1.5,41,10,500
1,LE,0.5342496851505882,0.8365863369133847,0.09978520232771072,0.0,1.5,41,10,500
0,DM,0.9815800835934504,0.16756798339504037,0.07865021659556473,0.0,1.5,42,10,500
1,LE,0.5280418800354639,0.8623275801002991,0.10186433436510979,0.0,1.5,42,10,500
0,DM,0.92702063066649,0.3422501652025739,0.15364974628045322,0.0,1.5,43,10,500
1,LE,0.8066820650831757,0.489702614416488,0.17950016865531682,0.0,1.5,43,10,500
0,DM,0.9800787354134681,0.16953419766594116,0.0759155680310049,0.0,1.5,44,10,500
